	tissue_id
GTEX-1H2FU-0226-SM-9YFKO	Adipose_Subcutaneous
GTEX-1H3O1-0526-SM-9MQLS	Adipose_Subcutaneous
GTEX-1H3VE-0226-SM-9WYST	Adipose_Subcutaneous
GTEX-1H3VY-0226-SM-9YFMF	Adipose_Subcutaneous
GTEX-1H4P4-0226-SM-9YFKT	Adipose_Subcutaneous
GTEX-1HB9E-0426-SM-CNPPV	Adipose_Subcutaneous
GTEX-1HBPH-0526-SM-9YFMN	Adipose_Subcutaneous
GTEX-1HBPI-1426-SM-B2LW7	Adipose_Subcutaneous
GTEX-1HBPM-0326-SM-CMKGR	Adipose_Subcutaneous
GTEX-1HCU6-0226-SM-CGQES	Adipose_Subcutaneous
GTEX-1HCU7-0326-SM-CMKGI	Adipose_Subcutaneous
GTEX-1HCU8-0726-SM-ADEIR	Adipose_Subcutaneous
GTEX-1HCUA-2226-SM-ADEHF	Adipose_Subcutaneous
GTEX-1HCVE-0226-SM-CGQEV	Adipose_Subcutaneous
GTEX-1HFI6-0326-SM-ADEI5	Adipose_Subcutaneous
GTEX-1HFI7-2026-SM-CGQFR	Adipose_Subcutaneous
GTEX-1HGF4-2526-SM-ADEIZ	Adipose_Subcutaneous
GTEX-1HR98-0226-SM-CGQEK	Adipose_Subcutaneous
GTEX-1HR9M-0226-SM-COH3E	Adipose_Subcutaneous
GTEX-1HSEH-0226-SM-ACKVV	Adipose_Subcutaneous
GTEX-1HSGN-0126-SM-CGQFU	Adipose_Subcutaneous
GTEX-1HSKV-0326-SM-ADEJC	Adipose_Subcutaneous
GTEX-1HSMO-0226-SM-CGQEZ	Adipose_Subcutaneous
GTEX-1HSMP-0226-SM-CGQFI	Adipose_Subcutaneous
GTEX-1HSMQ-1426-SM-ADEHT	Adipose_Subcutaneous
GTEX-1HT8W-0226-SM-CMKGT	Adipose_Subcutaneous
GTEX-1HUB1-0326-SM-A9SKQ	Adipose_Subcutaneous
GTEX-1I19N-0426-SM-ACKVY	Adipose_Subcutaneous
GTEX-1I1CD-0226-SM-CM2TL	Adipose_Subcutaneous
GTEX-1I1GP-2326-SM-CGQFL	Adipose_Subcutaneous
GTEX-1I1GQ-0226-SM-COH3I	Adipose_Subcutaneous
GTEX-1I1GR-0226-SM-CMKHQ	Adipose_Subcutaneous
GTEX-1I1GS-0226-SM-B2LVX	Adipose_Subcutaneous
GTEX-1I1GT-0526-SM-CGQEQ	Adipose_Subcutaneous
GTEX-1I1GU-2326-SM-CGQFB	Adipose_Subcutaneous
GTEX-1I1GV-0426-SM-ARZLX	Adipose_Subcutaneous
GTEX-1I1HK-0226-SM-COH4A	Adipose_Subcutaneous
GTEX-1I4MK-2026-SM-B2LVR	Adipose_Subcutaneous
GTEX-1I6K6-0226-SM-ADEID	Adipose_Subcutaneous
GTEX-1I6K7-0226-SM-CJI46	Adipose_Subcutaneous
GTEX-1ICG6-2626-SM-CGQG1	Adipose_Subcutaneous
GTEX-1ICLY-0226-SM-ARL7R	Adipose_Subcutaneous
GTEX-1ICLZ-0226-SM-CKZPP	Adipose_Subcutaneous
GTEX-1IDFM-0226-SM-CMKFX	Adipose_Subcutaneous
GTEX-1IDJD-1226-SM-CM2TP	Adipose_Subcutaneous
GTEX-1IDJF-0226-SM-CMKGE	Adipose_Subcutaneous
GTEX-1IDJU-2526-SM-CMKGF	Adipose_Subcutaneous
GTEX-1IE54-0226-SM-CMKHX	Adipose_Subcutaneous
GTEX-1IGQW-0226-SM-COH43	Adipose_Subcutaneous
GTEX-1IKJJ-0226-SM-COH3T	Adipose_Subcutaneous
GTEX-1IKK5-0526-SM-CMKGG	Adipose_Subcutaneous
GTEX-1IL2U-0326-SM-CE6T9	Adipose_Subcutaneous
GTEX-1IL2V-0226-SM-CMKI2	Adipose_Subcutaneous
GTEX-1IOXB-0226-SM-CMKHY	Adipose_Subcutaneous
GTEX-1IY9M-0226-SM-CMKHP	Adipose_Subcutaneous
GTEX-1J1OQ-0326-SM-CYPTJ	Adipose_Subcutaneous
GTEX-1J1R8-2226-SM-ARZMP	Adipose_Subcutaneous
GTEX-1J8EW-0226-SM-CYPSW	Adipose_Subcutaneous
GTEX-1J8JJ-0326-SM-CMKG6	Adipose_Subcutaneous
GTEX-1J8Q3-1526-SM-CMKGB	Adipose_Subcutaneous
GTEX-1J8QM-2326-SM-CYPSL	Adipose_Subcutaneous
GTEX-1JJ6O-0226-SM-E6CI9	Adipose_Subcutaneous
GTEX-1JJE9-1226-SM-CNPOI	Adipose_Subcutaneous
GTEX-1JJEA-0226-SM-COH2X	Adipose_Subcutaneous
GTEX-1JK1U-2126-SM-CNPOU	Adipose_Subcutaneous
GTEX-1JKYN-1226-SM-CGQG8	Adipose_Subcutaneous
GTEX-1JKYR-0226-SM-CNPOK	Adipose_Subcutaneous
GTEX-1JMLX-0126-SM-CMKG9	Adipose_Subcutaneous
GTEX-1JMPY-1426-SM-ARL8Z	Adipose_Subcutaneous
GTEX-1JMQI-2026-SM-CMKGP	Adipose_Subcutaneous
GTEX-1JMQK-0126-SM-CM2S3	Adipose_Subcutaneous
GTEX-1JMQL-0326-SM-CNPP6	Adipose_Subcutaneous
GTEX-1JN1M-0126-SM-D4P23	Adipose_Subcutaneous
GTEX-1JN6P-0226-SM-COH34	Adipose_Subcutaneous
GTEX-1JN76-0226-SM-CMKGO	Adipose_Subcutaneous
GTEX-1K2DA-2126-SM-CGQGL	Adipose_Subcutaneous
GTEX-1K9T9-0226-SM-E9U6K	Adipose_Subcutaneous
GTEX-1KAFJ-2426-SM-D4P32	Adipose_Subcutaneous
GTEX-1KANA-0826-SM-D3L9J	Adipose_Subcutaneous
GTEX-1KD5A-0326-SM-D5OVD	Adipose_Subcutaneous
GTEX-1KWVE-1326-SM-E6CJ1	Adipose_Subcutaneous
GTEX-1KXAM-2326-SM-CYPTD	Adipose_Subcutaneous
GTEX-1L5NE-2626-SM-E9U6P	Adipose_Subcutaneous
GTEX-1LB8K-0326-SM-E9TJC	Adipose_Subcutaneous
GTEX-1LBAC-0226-SM-DHXJZ	Adipose_Subcutaneous
GTEX-1LG7Y-0426-SM-DKPQB	Adipose_Subcutaneous
GTEX-1LG7Z-2026-SM-DLHBP	Adipose_Subcutaneous
GTEX-1LGOU-2226-SM-E9U56	Adipose_Subcutaneous
GTEX-1LGRB-2426-SM-CNPP3	Adipose_Subcutaneous
